City ID,City,Latitude,Longitude,Max temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Country,Date
0,Ponta do Sol,32.67,-17.1,69.8,77,75,10.29,PT,1601513131
1,Ribeira Grande,38.52,-28.7,69.4,81,19,12.19,PT,1601513131
2,Geraldton,-28.77,114.6,62.6,77,90,5.82,AU,1601513131
3,Dikson,73.51,80.55,40.68,95,100,21.5,RU,1601513132
4,Baghdad,33.34,44.4,75.2,41,0,1.12,IQ,1601512840
5,Saint-Philippe,-21.36,55.77,69.8,68,3,6.93,RE,1601513132
6,East London,-33.02,27.91,63.79,79,55,20.0,ZA,1601513133
7,Birjand,32.87,59.22,46.4,19,0,6.93,IR,1601513133
8,Kaitangata,-46.28,169.85,55.0,58,100,5.01,NZ,1601513134
9,Khatanga,71.97,102.5,26.13,98,100,9.91,RU,1601513134
10,Ligayan,4.65,119.47,83.82,70,1,3.8,PH,1601513135
11,Butaritari,3.07,172.79,81.95,74,23,18.88,KI,1601513135
12,Cidreira,-30.18,-50.21,70.3,88,0,9.64,BR,1601513135
13,Constitución,-35.33,-72.42,47.64,70,100,13.42,CL,1601513135
14,Cockburn Town,21.46,-71.14,84.4,79,100,20.49,TC,1601513136
15,Busselton,-33.65,115.33,62.01,81,100,1.99,AU,1601513136
16,Saskylakh,71.92,114.08,27.19,97,96,1.03,RU,1601513137
17,Lorengau,-2.02,147.27,84.43,75,98,7.61,PG,1601513137
18,Pilar,-9.6,-35.96,73.4,88,40,4.7,BR,1601513137
19,Airai,-8.93,125.41,75.79,42,27,6.2,TL,1601513138
20,Lakes Entrance,-37.88,147.98,63.0,45,0,3.0,AU,1601513138
21,Liubar,49.92,27.76,53.4,96,100,5.12,UA,1601513138
22,Chākia,26.42,85.05,79.27,78,11,1.97,IN,1601513139
23,Yellowknife,62.46,-114.35,41.0,93,75,3.36,CA,1601513139
24,Praia,14.92,-23.51,78.8,83,20,11.41,CV,1601513140
25,Praia da Vitória,38.73,-27.07,68.0,94,40,10.47,PT,1601513001
26,Okhotsk,59.38,143.3,51.33,55,0,11.59,RU,1601513140
27,Ushuaia,-54.8,-68.3,30.2,86,90,32.21,AR,1601512989
28,Hobart,-42.88,147.33,57.2,44,20,17.22,AU,1601513141
29,Dunedin,-45.87,170.5,52.0,68,100,10.0,NZ,1601512934
30,Linguère,15.4,-15.12,85.01,47,66,11.25,SN,1601513141
31,Vaini,-21.2,-175.2,78.8,88,20,11.41,TO,1601513142
32,Atuona,-9.8,-139.03,78.51,74,6,20.0,PF,1601513142
33,Alice Springs,-23.7,133.88,77.0,20,0,14.99,AU,1601513045
34,Ucluelet,48.93,-125.55,61.0,100,90,4.7,CA,1601513119
35,Qaanaaq,77.48,-69.36,10.85,77,0,7.38,GL,1601513143
36,Weligama,5.97,80.42,78.33,86,29,10.47,LK,1601513143
37,Mahébourg,-20.41,57.7,66.2,93,20,4.7,MU,1601513144
38,Rikitea,-23.12,-134.97,72.07,82,85,25.41,PF,1601513144
39,Camaçari,-12.7,-38.32,78.8,74,20,6.93,BR,1601513144
40,Touros,-5.2,-35.46,77.0,83,40,5.82,BR,1601513144
41,Nānākuli,21.39,-158.15,86.0,62,1,11.41,US,1601513145
